target,model_name,mae_test,rmse_test,r2_test,mae_boot_mean_train,mae_boot_std_train,mae_95ci_lower,mae_95ci_upper
S-II,LinearRegression,1.9804689553906236,2.2992418497635527,0.622984130396202,1.9845984829640622,0.12949536732954983,1.7384442330472634,2.2693486029277232
S-II,PolynomialDeg2,1.8545172321686423,2.2687772248329705,0.6329087544395104,1.97766608515837,0.14993288531316432,1.7357086431224278,2.3292235363690605
S-II,DummyMean,3.081879346459992,3.8319509083874768,-0.04720134923135788,3.032038856627722,0.19118174099870805,2.653831111824068,3.3992084698615517
